4 5
7 9 13 18 10 
12 4 18 3 9 
0 5 12 2 7 
3 7 9 0 12 
3 9 9 17 0 
13 19 18 16 15 
17 6 12 7 10 
13 19 9 19 1 
7 12 13 16 5 
5 8 11 14 17 
1 13 8 4 8 
10 4 16 10 3 
2 6 9 4 1 
13 17 8 8 13 
18 1 15 13 5 
14 3 16 5 9 
15 14 9 1 17 
15 5 4 11 18 
8 3 5 2 12 
6 16 17 18 4 
1 17 11 8 17 
18 17 17 14 4 
9 11 5 15 15 
18 2 19 8 12 
0 17 14 8 15 
8 13 10 6 2 
2 5 2 12 7 
1 15 12 11 1 
10 11 18 17 16 
10 0 19 15 6 
12 18 15 19 14 
3 9 0 5 6 
3 6 13 10 18 
14 0 4 6 14 
6 14 3 18 4 
10 10 19 3 7 
5 17 12 19 7 
5 16 5 3 0 
4 8 15 15 5 
14 2 11 19 12 
4 15 18 16 12 
15 11 13 9 17 
13 7 5 10 2 
11 8 17 1 5 
15 8 15 16 7 
19 14 11 16 1 
12 0 14 4 15 
9 7 15 13 9 
0 15 15 6 3 
2 16 8 9 11 
4 18 8 17 11 
9 3 11 11 14 
19 15 9 0 9 
3 14 0 17 5 
17 5 0 16 4 
17 8 4 10 10 
16 12 14 17 4 
1 8 5 18 19 
9 9 13 3 7 
7 13 2 5 16 
13 4 10 6 0 
4 10 5 16 18 
15 13 17 16 18 
6 17 11 18 14 
19 17 13 11 0 
2 13 17 11 8 
9 13 17 4 18 
0 14 0 15 7 
0 10 15 6 7 
18 0 6 15 17 
13 14 13 0 14 
18 17 5 9 15 
3 2 17 3 19 
7 7 9 15 3 
13 3 8 5 18 
19 6 10 4 12 
13 3 17 0 10 
11 0 3 0 0 
13 18 3 16 10 
14 0 19 12 14 
9 2 9 11 10 
19 3 10 0 3 
10 11 9 18 6 
19 10 1 16 4 
4 18 16 11 4 
0 18 11 0 3 
11 1 5 0 18 
14 9 13 0 5 
12 3 8 17 8 
10 4 15 17 11 
10 6 10 13 13 
5 0 2 3 12 
7 1 10 0 19 
7 11 7 14 5 
1 17 8 2 15 
14 5 13 0 11 
19 14 5 9 13 
9 6 16 4 0 
18 12 0 16 0 
7 12 19 18 1 
11 16 11 11 8 
11 1 5 0 0 
18 13 7 10 11 
3 14 13 7 7 
15 11 2 16 6 
15 4 1 17 1 
3 4 8 16 1 
15 10 16 5 13 
1 0 11 9 5 
7 16 8 5 4 
7 9 16 6 16 
6 7 0 4 11 
10 18 11 4 18 
18 14 5 7 9 
18 14 5 18 8 
9 14 7 0 14 
0 16 15 3 8 
5 11 12 4 16 
17 15 5 10 15 
12 10 7 17 19 
7 15 13 19 9 
4 19 1 5 9 
18 13 0 9 10 
17 6 18 3 18 
16 1 19 16 7 
